ID,Nombre,LARs,Proyecto Actividad,Área Responsable,Ejecución,Puntuación,¿Ha sido concluido el proyecto o actividad?,"Mes y año tentativo de terminación del proyecto o actividad 
(mm/aa)",Nombre completo del responsable del proyecto,Porcentaje de avance al momento de atención a este reporte (0-100%),Comentarios
32,Análisis de las iniciativas públicas y privadas para proveer servicios de telecomunicaciones y radiodifusión en zonas rurales y/o marginadas,"LAR 1.1.3: Favorecer las inversiones en redes e infraestructura de entidades relevantes del ecosistema digital que permitan el desarrollo de nuevos servicios, aplicaciones y modelos de negocio",Actividad,CES,2022,71,No,jul-22,Sayuri Adriana Koike Quintanar,40.00%,
48,Análisis del impacto de la política fiscal sobre el costo del espectro y el precio al consumidor de los servicios de telecomunicaciones móviles ,"LAR 1.3.4: Revisar los esquemas actuales de cobros por el uso, aprovechamiento y explotación del espectro radioeléctrico, en colaboración con las instituciones gubernamentales correspondientes.",Actividad,CES,2022,50,No,jul-22,Jesús Zurita González,20.00%,Análisis del impacto de la política fiscal sobre el costo de uso del espectro y el precio al consumidor de los servicios de telecomunicaciones móviles.
52,Reporte sobre Sandbox regulatorio para el IFT,LAR 1.3.1: Promover la disponibilidad de espectro radioeléctrico para la provisión de diferentes servicios y aplicaciones de radiocomunicaciones,Actividad,CES,2021,68,Sí,dic-22,José Luis Cuevas Ruíz,100.00%,
53,Análisis y evaluación de las alternativas tecnológicas para promover la compartición y acceso dinámico al espectro de los servicios satelitales.,"LAR 1.3.5: Valorar mecanismos de coexistencia, mercado secundario, compartición y acceso dinámico de espectro radioeléctrico entre diversos servicios de radiocomunicaciones, en concordancia con el desarrollo tecnológico, las mejores prácticas regulatorias y modelos innovadores de gestión del espectro radioeléctrico",Actividad,CES,2022,63,No,jul-22,José Luis Cuevas Ruíz,30.00%,Análisis y evaluación de las alternativas para gestionar de manera eficiente el espectro utilizado en el marco de las redes 5G.
56,Análisis del impacto de la tecnología 5G en la industria y la sociedad ,"LAR 3.2.1: Realizar un monitoreo y análisis tecnológico continuo para identificar de forma anticipada tecnologías y/o casos de uso emergentes, así como evaluar el rol que puede tomar el Instituto en el fomento de su adopción",Actividad,CES,2021,43,Sí,ene-22,José Luis Cuevas Ruíz,100.00%,
61,Estudio sobre el uso eficiente del espectro: métrica de eficiencia económica,LAR 1.3.1: Promover la disponibilidad de espectro radioeléctrico para la provisión de diferentes servicios y aplicaciones de radiocomunicaciones.,Actividad,CES,2021,25,Sí,ene-22,Jrisy Esther Motis Espejel,100.00%,
63,Reporte de factores que explican la evolución reciente de los flujos de inversión en las telecomunicaciones,"LAR 1.1.3: Favorecer las inversiones en redes e infraestructura de entidades relevantes del ecosistema digital que permitan el desarrollo de nuevos servicios, aplicaciones y modelos de negocio",Actividad,CES,2021,71,Sí,dic-22,Sayuri Adriana Koike Quintanar,100.00%,El nombre correcto es: Factores que explican la evolución reciente de los flujos de inversión en las telecomunicaciones.
85,Estudio de la convergencia de los servicios de telecomunicaciones móviles,"LAR 2.1.1: Monitorear y estudiar las implicaciones desde un punto de vista de competencia económica de los nuevos modelos de negocio del ecosistema digital, considerando los mercados digitales en los que el Instituto sea la autoridad competente para resolver.",Actividad,CES,2021,34,Sí,ene-22,Jesús Zurita González,100.00%,Convergencia de los servicios de telecomunicaciones
86,Elementos para adaptación de la guía de concentraciones para el entorno digital convergente,"LAR 2.1.2: Aplicar la política de competencia económica en un contexto de mercados relevantes, teniendo presente la existencia de nuevos agentes, modelos de negocio y posibles cuellos de botella o insumos esenciales en la provisión de servicios digitales",Actividad,CES,2022,63,No,ene-23,Jrisy Esther Motis Espejel,0.00%,Elementos de análisis de concentraciones en el entorno digital convergente.
88,Estudio del estado de la compartición de infraestructura. Evaluación de potenciales limitaciones o barreras  para el acceso eficiente a la infraestructura ,LAR 2.1.5: Realizar actividades de abogacía de la competencia con autoridades públicas cuyas acciones inciden en los sectores de TyR y en el ecosistema digital,Actividad,CES,2022,54,No,jul-22,Jrisy Esther Motis Espejel,25.00%,Estado de la compartición de infraestructura. Evaluación de potenciales limitaciones o barreras para el acceso eficiente a la infraestructura.
91,Análisis de la concentración en las telecomunicaciones móviles,"LAR 2.1.4: Garantizar un monitoreo continuo de las medidas regulatorias impuestas en materia de competencia económica, incluidas las relativas a la provisión de servicios digitales sobre Internet y al contexto de preponderancia y adecuar las mismas según un criterio de ""smart regulation"" en función de su efectividad y de la evolución de los sectores de TyR del ecosistema digital.",Actividad,CES,2021,38,Sí,ago-22,Jesús Zurita González,100.00%,Concentración en las telecomunicaciones móviles
95,"Consideraciones de eficiencia de los mecanismos de coexistencia, compartición, acceso dinámico y mercado secundario del espectro","LAR 1.3.5 : Valorar mecanismos de coexistencia, mercado secundario, compartición y acceso dinámico de espectro radioeléctrico entre
diversos servicios de radiocomunicaciones, en concordancia con el desarrollo tecnológico, las mejores prácticas regulatorias y modelos
innovadores de gestión del espectro  radioeléctrico",Actividad,CES,2021,38,Sí,oct-22,Jrisy Esther Motis Espejel,100.00%,
