,ID,Objetivos,Estrategias,LARs,LAR,Acciones Potenciales,Categoria,Temas_G5,G5,Temas,Agenda,Nombre,Tipo G,Tipo,Proyecto Actividad,Responsable,Prioridad,Trimestre,Status,Ejecución,Comentarios Áreas,regulador G5,Tipo Coadyuvancia,Comentarios_x,Is Equal Proy,Is Equal Score,Coment Total,comentario_sd,Comentarios de los Comisionados,Prioridades,respuesta del área,Sugerencias CGPE,Respuesta área,valor JJ,esfuerzo JJ,comentario JJ,Oficina 1,valor RC,esfuerzo RC,comentario RC,Oficina 2,valor AR,esfuerzo AR,comentario AR,Oficina 3,average_score (Preliminar),valoración_RC2,esfuerzo_RC2,comentario_RC2,Score_RC2,valoración_JJ2,esfuerzo_JJ2,comentario_JJ2,Score_JJ2,valoración_SD2,esfuerzo_SD2,comentario_SD2,Score_SD2,valoración_AR2,esfuerzo_AR2,Average_score_round,Score_AR2,Comenatarios Comisionados 10.10.21,Comentarios reconsideración 20.10.21,Prioritarios,Puntuación Final,Detalle_deadline,Meta 2022,PAT 2022,¿Proviene de PAT 2021?,¿Ha sido concluido el proyecto o actividad?,"Mes y año tentativo de terminación del proyecto o actividad 
(mm/aa)",Nombre completo del responsable del proyecto,Porcentaje de avance al momento de atención a este reporte (0-100%),Comentarios_y
0,1,Objetivo Transversal,Estrategia T.1,"LAR T.1.6: Revisar las regulaciones, marco normativo y otras disposiciones existentes para que respondan a la evolución tecnológica y del ecosistema digital, con el fin de hacer una revisión ordenada de las funciones regulatorias y de competencia del Instituto",LAR T.1.6,Evaluar las regulaciones existentes del Instituto con el fin de hacer una revisión ordenada de las funciones regulatorias y de competencia del Instituto.,Colaboración,Otros temas G5,,Infraestructura Digital,,Análisis de impacto ex post de la política de must carry y must offer en el mercado de TV de paga en México* ,Estudio,Estudio,Actividad,CGPE,2022,IV,,2022,,No,Individual,"-Me parece obvio que el impacto de la política ha sido positivo. Sería mejor orientar los esfuerzos a otras áreas, por ejemplo: ""Tala Regulatoria"" en general. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]",,,"-Me parece obvio que el impacto de la política ha sido positivo. Sería mejor orientar los esfuerzos a otras áreas, por ejemplo: ""Tala Regulatoria"" en general. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]","PAT 2021

Se podría realizar Sandbox regulatorios para identificar normativas que obstaculizan la evolución tecnológica o la innovación  [SD]"," -Me parece obvio que el impacto de la política ha sido positivo. Sería mejor orientar los esfuerzos a otras áreas, por ejemplo: ""Tala Regulatoria"" en general. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC] 

 PAT 2021

Se podría realizar Sandbox regulatorios para identificar normativas que obstaculizan la evolución tecnológica o la innovación  [SD]",En análisis,"La Tala Regulatoria se considera como un elemento fundamental del proyecto Estrategia de Gobierno Electrónico (ID 509). 
El proyecto se encuentra en elaboración y está previto en el PAT 2021, para efectos de contar con una medida cuantificable de los beneficios monetarios que propició la medida.  ",,,B,B,"Me parece obvio que el impacto de la política ha sido positivo. Sería mejor orientar los esfuerzos a otras áreas, por ejemplo: ""Tala Regulatoria"" en general. [JJ]",0.0,A,M,Se considera Alto Impacto por ser de PAT 2021 [RC],85.0,M,A,,65.0,50.0,A,M,,85.0,B,B,,0.0,M,M,,50.0,M,A,,65,,,0.0,50.0,2022-IV,100.0,Sí,Sí,,,,,
1,2,Objetivo 2 (Competencia),Estrategia 2.1,"LAR 2.1.1: Monitorear y estudiar las implicaciones desde un punto de vista de competencia económica de los nuevos modelos de negocio del ecosistema digital, considerando los mercados digitales en los que el Instituto sea la autoridad competente para resolver",LAR 2.1.1,"Identificar, estudiar y analizar, de manera periódica, la aparición de nuevos modelos de negocio en el ecosistema digital.",Micrositio,Otros temas G5,Otros temas G5,Industria 4.0,,Sensor 5G*,Micrositio,Proyecto,Proyecto,CGPE,2021,IV,concluido,2021,,Sí,Coadyuvancia,"-El sensor 5G como tal es relevante, sin embargo, la acción potencial que se describe, relacionada más bien a ATSC 3.0 no considero que en este momento sea una prioridad.  

Casos de uso 5G definitivamente si debería ser prioritario. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]",,,"-El sensor 5G como tal es relevante, sin embargo, la acción potencial que se describe, relacionada más bien a ATSC 3.0 no considero que en este momento sea una prioridad.  

Casos de uso 5G definitivamente si debería ser prioritario. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]","PAT 2020 y PAT 2021

Se requieren actividades específicas para radiodifusión [SD]","-El sensor 5G como tal es relevante, sin embargo, la acción potencial que se describe, relacionada más bien a ATSC 3.0 no considero que en este momento sea una prioridad.  

Casos de uso 5G definitivamente si debería ser prioritario. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC] 

 PAT 2020 y PAT 2021

Se requieren actividades específicas para radiodifusión [SD]",En análisis,"Como resultado de la evaluación realizada por los Comisionados, este proyecto es de relevancia media y ha sido concluido. Se espera generar sinergías con otros proyectos relacionados con el tema como el Comité 5G.  ",,,M,M,"El sensor 5G como tal es relevante, sin embargo, la acción potencial que se describe, relacionada más bien a ATSC 3.0 no considero que en este momento sea una prioridad.  

Casos de uso 5G definitivamente si debería ser prioritario. [JJ]",50.0,A,B,Se considera Alto Impacto por ser de PAT 2021 [RC],70.0,M,M,,50.0,57.0,A,B,,70.0,M,M,,50.0,M,M,,50.0,M,M,,50,,,0.0,55.0,2021-IV,100.0,No,Sí,,,,,
2,3,Objetivo Transversal,Estrategia T.1,"LAR T.1.6: Revisar las regulaciones, marco normativo y otras disposiciones existentes para que respondan a la evolución tecnológica y del ecosistema digital, con el fin de hacer una revisión ordenada de las funciones regulatorias y de competencia del Instituto",LAR T.1.6,Evaluar las regulaciones existentes del Instituto con el fin de hacer una revisión ordenada de las funciones regulatorias y de competencia del Instituto.,Competencia Económica,Otros temas G5,,Competencia en el Ecosistema Digital,,* Guía para la determinación de multas en materia de competencia económica en los sectores de TyR,Guías técnicas,Proyecto,Proyecto,UCE,2021,,,2021,"La UCE participará en cualquier iniciativa transversal para la mejora regulatoria, a fin de disminuir los costos de cumplimiento y de incrementar la certidumbre de los procedimientos de Ley.
Actualmente la UCE desarrolla dos proyectos de guías (consideradas ""soft law"") que incidirán en este sentido. Estas guías consideran mejores prácticas internacionales y se someterán a consulta pública.",No,Coadyuvancia,"-Aún no puedo decir que estaré a favor de esta guía, como lo mencioné en su momento para proyecto similar de la UC. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]",,,"-Aún no puedo decir que estaré a favor de esta guía, como lo mencioné en su momento para proyecto similar de la UC. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]","PAT 2020 y PAT 2021
Actualmente en consulta pública [SD]","-Aún no puedo decir que estaré a favor de esta guía, como lo mencioné en su momento para proyecto similar de la UC. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC] 

 PAT 2020 y PAT 2021
Actualmente en consulta pública [SD]",En análisis,La UCE alineo este proyecto a la LAR T.1.6. Se realizará una justificación robusta para efectos de que los Comisionados tomen la mejor decisión. ,,,B,B,"Aún no puedo decir que estaré a favor de esta guía, como lo mencioné en su momento para proyecto similar de la UC. [JJ]",0.0,A,B,Se considera Alto Impacto por ser de PAT 2021 [RC],70.0,M,M,,50.0,40.0,A,B,,70.0,B,B,,0.0,A,A,,100.0,M,M,,50,,,0.0,55.0,,,Sí,,,,,,
3,4,"Objetivo 4 (Protección, Calidad y Pluralidad)",Estrategia 4.4,LAR 4.4.1: Colaborar con las instituciones correspondientes en la actualización continua de los derechos de usuarios conforme a la evolución tecnológica y de servicios de las Telecomunicaciones en el ecosistema digital,LAR 4.4.1,"Colaborar con las instituciones correspondientes, como con la Procuraduría Federal del Consumidor (PROFECO) y las asociaciones de usuarios y audiencias, en la habilitación de herramientas en línea efectivas para canalizar quejas y reclamaciones relacionadas con la prestación de los servicios, considerando que existen herramientas de este tipo como Soy Usuario.",Colaboración,Protección de las audiencias y usuarios,Protección de las audiencias y usuarios,Protección de las audiencias y usuarios,,Actualización de la Carta de Derechos de los Usuarios de Telecomunicaciones* ,Instrumento Regulatorio,Proyecto,Proyecto,CGPU,2022,I,,2022,"Para el año 2021 se tiene programada una actualización a la Carta de Derechos de los Usuarios de Servicios de Telecomunicaciones, dicho documento se realizará en conjunto con la PROFECO. Asimismo, se tiene proyecta la realización del Mantenimiento del sistema Soy Usuario y el lanzamiento de una aplicación móvil con dicha herramienta. ",Sí,Individual,"-Este proyecto dependería en su caso de la urgencia de las modificaciones que se requieren. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]",,,"-Este proyecto dependería en su caso de la urgencia de las modificaciones que se requieren. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]",PAT 2021 [SD],"-Este proyecto dependería en su caso de la urgencia de las modificaciones que se requieren. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC] 

 PAT 2021 [SD]",En análisis,"Los trabajos de actualización de la Carta de Derechos comenzaron considerando la emisión de la Norma Oficial Mexicana NOM-184-SCFI-2018, toda vez que en la misma se incluyeron nuevas prerrogativas a favor de los usuarios y obligaciones a cargo de los operadores, por lo que se consideró importante dar a conocer estos derechos con un leguaje ciudadano.

Asimismo, dicha actualización se considera pertinente atendiendo a los derechos contemplados en los diversos ordenamientos emitidos por el IFT con posterioridad a la emisión de Carta, como en los Lineamientos generales para la publicación de información transparente, comparable, adecuada y actualizada relacionada con los servicios de telecomunicaciones; los Lineamientos de Calidad del Servicio Móvil; los Lineamientos de Calidad del Servicio Fijo; los Lineamientos generales de accesibilidad a servicios de telecomunicaciones para los usuarios con discapacidad; y las modificaciones a las Reglas de portabilidad numérica.

Por lo anterior, a partir del 7 de febrero de 2020 se iniciaron las actividades para la actualización de Carta de Derechos, celebrando reuniones entre servidores públicos de PROFECO y el IFT para identificar los nuevos derechos a ser incluidos, destacando:
-	Los asociados a la libertad de elección de mecanismos de atención y presentación de quejas.
-	El derecho de acceso a la información de los servicios ofertados y contratados, como son las políticas de uso justo que establecen los criterios, reglas, límites, restricciones que se aplicarán al uso de los servicios.
-	En materia de portabilidad, el derecho a solicitar la reversión y la recuperación del número portado.
-	En lo que respecta a accesibilidad, se integraron los derechos de los usuarios con discapacidad como son el solicitar y recibir atención en igualdad de condiciones; el acceso a terminales con funcionalidades de accesibilidad y el acceso a mecanismos para poder suscribir contratos y presentar inconformidades, así como el acceso a información accesible, entre otros.
-	En materia de contratos de adhesión, garantías y desbloqueo, se actualizaron los derechos de los usuarios para estar conforme a las nuevas disposiciones de la NOM.

Es importante destacar que, en esta versión de la Carta de Derechos, se está considerando un texto resumido con lenguaje ciudadano para facilitar su lectura. 

 ",,,M,M,Este proyecto dependería en su caso de la urgencia de las modificaciones que se requieren. [JJ],50.0,A,B,Se considera Alto Impacto por ser de PAT 2021 [RC],70.0,M,A,,65.0,62.0,A,B,,70.0,M,M,,50.0,B,B,,0.0,M,A,,65,,,0.0,46.0,2022-I,100.0,Sí,Sí,,,,,
4,5,Objetivo 2 (Competencia),Estrategia 2.1,LAR 2.1.5: Realizar actividades de abogacía de la competencia con autoridades públicas cuyas acciones inciden en los sectores de TyR y en el ecosistema digital,LAR 2.1.5,Identificar potenciales áreas de mejora en las acciones llevadas a cabo actualmente por el Instituto en materia de abogacía de la competencia económica.,Competencia Económica,Otros temas G5,,Competencia en el Ecosistema Digital,,Metodología para la elaboración de Estudios de Mercado en materia de competencia económica.,Guías técnicas,Proyecto,Proyecto,UCE,2022,III,,2022,"El documento de abogacía revisará las acciones realizadas y planteará una estrategia a seguir en el futuro. Esta estrategia incluirá acciones a implementar en el corto, mediano y largo plazo.
El documento sobre estudios de mercado busca brindar una guía sobre los objetivos, elaboración, información disponible y uso de este tipo de estudios.",No,Individual,,,,,¿EN QUÉ CONSISTE ESTE PROYECTO? [SD],¿EN QUÉ CONSISTE ESTE PROYECTO? [SD],En análisis,"Se realiza una guía actualizada sobre los elementos básicos que debe incluir un estudio de mercado para efectos de dar certeza sobre los criterios que utiliza la UCE y homologar las investigaciones para efectos de tener causas objetivas sólidas. 
Los estudios de mercado son proyectos de investigación orientados a obtener una comprensión profunda del funcionamiento de sectores, mercados o prácticas de mercado. Sus resultados pueden conducir a investigaciones en materia de competencia, propuestas de regulación o desregulación o mayor escrutinio de un mercado. El objetivo de esta guía es establecer el proceso que seguirá el Instituto para realizarlos. Los elementos que incluye son: criterios para elegir los casos a evaluar, las metodologías y enfoques de análisis que podrían ser empleados, los indicadores objeto de estudio, las fuentes de información y los responsables de su elaboración.",qué elementos básicos son (se sugieren algunos ejemplos). ,"Los estudios de mercado son proyectos de investigación orientados a obtener una comprensión profunda del funcionamiento de sectores, mercados o prácticas de mercado. Sus resultados pueden conducir a investigaciones en materia de competencia, propuestas de regulación o desregulación o mayor escrutinio de un mercado. El objetivo de esta guía es establecer el proceso que seguirá el Instituto para realizarlos. Los elementos que incluye son: criterios para elegir los casos a evaluar, las metodologías y enfoques de análisis que podrían ser empleados, los indicadores objeto de estudio, las fuentes de información y los responsables de su elaboración.",B,B,,0.0,A,B,,70.0,A,A,,100.0,57.0,A,B,,70.0,B,B,,0.0,A,A,,100.0,A,A,,100,,,1.0,68.0,2022-III,100.0,Sí,No,,,,,
5,6,Objetivo 2 (Competencia),Estrategia 2.1,"LAR 2.1.2: Aplicar la política de competencia económica en un contexto de mercados relevantes, teniendo presente la existencia de nuevos agentes, modelos de negocio y posibles cuellos de botella o insumos esenciales en la provisión de servicios digitales",LAR 2.1.2,"Diseñar una propuesta preliminar de la metodología a seguir para poner en acción este enfoque preventivo o correctivo (metodología para la definición de mercados relevantes, identificación de agentes con poder sustancial de mercado, etc.).",Competencia Económica,Otros temas G5,,Competencia en el Ecosistema Digital,,Guía para determinar Mercados Relevantes en los Sectores de Telecomunicaciones y Radiodifusión (en elaboración).,Guías técnicas,Proyecto,Proyecto,UCE,2021,,,2021,Se trabaja actualmente una guía con elementos que el Instituto toma en cuenta para la definición de mercados relevantes. Este documento se elabora por instrucción del Pleno.,No,Individual,,,,,Proyecto contemplado por AI y UCE para atender recomendación 14.8 OCDE peer review [SD],Proyecto contemplado por AI y UCE para atender recomendación 14.8 OCDE peer review [SD],Implementar,"Se confirma que este proyecto atiende la recomendación señalada de la OCDE.
La Guía se encuentra en consulta pública (ID 174). ",,,A,A,,100.0,A,B,,70.0,A,A,,100.0,90.0,A,B,,70.0,A,A,,100.0,A,A,,100.0,A,A,,100,,,1.0,93.0,,,,,Sí,,,,http://www.ift.org.mx/sites/default/files/conocenos/pleno/sesiones/acuerdoliga/extractodof171121661.pdf
6,7,Objetivo Transversal,Estrategia T.1,"LAR T.1.6: Revisar las regulaciones, marco normativo y otras disposiciones existentes para que respondan a la evolución tecnológica y del ecosistema digital de acuerdo a las mejores prácticas internacionales con un enfoque ágil y flexible (soft law), y basadas en los principios generales de buena regulación",LAR T.1.6,"Evaluar las regulaciones existentes del Instituto con el fin de hacer una revisión
ordenada de las funciones regulatorias y de competencia del Instituto",Diseño Institucional,Innovación Institucional,,Innovación Institucional,,Directrices generales para la presentación de la información programática y económica por parte de los concesionarios que prestan el servicio de radiodifusión* ,Instrumento Regulatorio,Proyecto,Proyecto,UMCA,2022,II,,2022,,,Individual,"-Lo pensaría orientado a una simplificación? [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]",,,"-Lo pensaría orientado a una simplificación? [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]",PAT 2021 [SD],"-Lo pensaría orientado a una simplificación? [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC] 

 PAT 2021 [SD]",Implementar,"De acuerdo, consideramos que se trata de un proyecto de simplificación regulatoria y administrativa. Es un proyecto que consideramos debe permanecer en la Hoja de ruta en concordancia con esta línea de acción, dado que simplifica las obligaciones a cargo de los concesionarios en consistencia con una visión institucional de mejora de la regulación. 

 ",,,A,A,Lo pensaría orientado a una simplificación? [JJ],100.0,A,A,Se considera Alto Impacto por ser de PAT 2021 [RC],100.0,A,A,,100.0,100.0,A,A,,100.0,A,A,,100.0,M,M,,50.0,A,A,,100,,,1.0,88.0,2022-II,100.0,Sí,Sí,,,,,
7,8,Objetivo 1 (Infraestructura),Estrategia 1.3,LAR 1.3.1: Promover la disponibilidad de espectro radioeléctrico para la provisión de diferentes servicios y aplicaciones de radiocomunicaciones,LAR 1.3.1,"Evaluar los resultados de las Conferencias Mundiales de Radiocomunicaciones
de la UIT (CMRs) y aplicar las decisiones pertinentes en el marco regulatorio nacional y en el Cuadro Nacional de Atribución de Frecuencias.",Estudios y análisis,Otros temas G5,Otros temas G5,Industria 4.0,"1. Agenda para la promoción de inversión, nuevos servicios, cobertura y conectividad",Determinación de uso de la banda de frecuencias 5925-7125 MHz* ,Documento técnico,Proyecto,Proyecto,UER,2022,III,,2022,,Sí,Individual,"-Este es un ejemplo de actividad/proyecto que parece perfectamente alineado y consistente con las acciones y con la LAR. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]",,,"-Este es un ejemplo de actividad/proyecto que parece perfectamente alineado y consistente con las acciones y con la LAR. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC]",PAT 2020 y PAT 2021 [SD],"-Este es un ejemplo de actividad/proyecto que parece perfectamente alineado y consistente con las acciones y con la LAR. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 [RC] 

 PAT 2020 y PAT 2021 [SD]",Implementar,Se toma nota ,,,A,A,Este es un ejemplo de actividad/proyecto que parece perfectamente alineado y consistente con las acciones y con la LAR. [JJ],100.0,A,B,Se considera Alto Impacto por ser de PAT 2021 [RC],70.0,A,A,,100.0,90.0,A,B,,70.0,A,A,,100.0,A,A,,100.0,A,A,,100,,,1.0,93.0,2022-III,100.0,Sí,Sí,,,,,
8,9,Objetivo Transversal,Estrategia T.1,LAR T.1.1: Fortalecer el diseño institucional y el análisis de las políticas internas con el fin de mejorar los procesos y procedimientos a cargo del Instituto,LAR T.1.1,"Valorar potenciales adecuaciones en la estructura del Instituto para acomodar las áreas de mejora identificadas (por ejemplo, relativas a la promoción de un gobierno digital).",Diseño Institucional,Otros temas G5,,Innovación Institucional,,"Proponer la escisión de la DGTIC respecto la UADM para formar una Coordinación General de TIC, que comprenda, el tramo teórico, de asesoría y recomendaciones regulatorias sobre las TIC; así como mantener el brazo operativo y de ejecución que le permitan conocer de primera mano las TICs que se promuevan en el tramo regulatorio, toda vez que también está encargado de la operación. De acuerdo con las buenas prácticas internacionales, dicha Coordinación General de TIC debiera reportar al más alto nivel de la organización, en este caso, a la Presidencia del IFT.",Diseño institucional,Proyecto,Proyecto,UADM,2022,,,2022,"Habiendo conocido la recomendación del Consejo Consultivo del IFT, así como la propuesta elaborada por la CGPE, se considera, en su caso, proponer la escisión de la DGTIC respecto la UADM para formar una Coordinación General de TIC, que comprenda, el tramo teórico, de asesoría y recomendaciones regulatorias sobre las TIC; así como mantener el brazo operativo y de ejecución que le permitan conocer de primera mano las TICs que se promuevan en el tramo regulatorio, toda vez que también está encargado de la operación.

Finalmente, de acuerdo con las buenas prácticas internacionales, dicha Coordinación General de TIC debiera reportar al más alto nivel de la organización, en este caso, a la Presidencia del IFT.",No,Corresponsabilidad,,,,"Un proyecto como este requeriría acuerdo previo con comisionados. No necesariamente veo que lo relacionado al ecosistema digital, desde la función regulatoria y de competencia del IFT, esté en la misma área que ve los sistemas del instituto.
Tengo mi reserva si esta nueva unidad debería incluir lo operativo. [JJ]",,"Un proyecto como este requeriría acuerdo previo con comisionados. No necesariamente veo que lo relacionado al ecosistema digital, desde la función regulatoria y de competencia del IFT, esté en la misma área que ve los sistemas del instituto.
Tengo mi reserva si esta nueva unidad debería incluir lo operativo. [JJ]",En análisis,"Coincidimos en que esta propuesta requerirá un acuerdo previo de los Comisionados, toda vez que implica una modificación a la estructura orgánica del Instituto. El planteamiento está hecho con base en buenas prácticas organizacionales donde, por tratarse las TIC de un tema no sólo de operación sino estratégico dentro de las organizaciones, el área responsable le reporta directamente al nivel más alto de la institución; permitiendo y proponiendo una mejor alineación de las TIC con los proyectos sustantivos. Esta práctica tiene ya largo antecedente en la iniciativa privada e incluso ha sido adoptada en instituciones públicas como: INE, CNSF, INEGI, IPAB, entre otras.

Respecto el brazo regulatorio de esta Coordinación, la propuesta es para que emita recomendaciones y brinde asesoría sobre el uso de las TICs en los trabajos regulatorios y de competencia que, en el ejercicio de sus atribuciones, realicen las UAs del Instituto, como de facto ha ido sucediendo recientemente; finalmente, se aprovecharía el conocimiento y experiencia en la aplicación de las TIC que como brazo operativo haya adquirido la Coordinación. 

 ",,,M,M,"Un proyecto como este requeriría acuerdo previo con comisionados. No necesariamente veo que lo relacionado al ecosistema digital, desde la función regulatoria y de competencia del IFT, esté en la misma área que ve los sistemas del instituto.
Tengo mi reserva si esta nueva unidad debería incluir lo operativo. [JJ]",50.0,M,B,,35.0,,,,0.0,28.0,M,B,,35.0,M,M,,50.0,B,B,,0.0,,,,ND,,,0.0,28.0,,,,,No,dic-22,Guillermo Fernández Martínez,0.00%,"Se solicita gestionar una reunión con el Comisionado Presidente, a fin de exponer con mayor detalle las razones y beneficios de esta propuesta, poniendo énfasis en que las varias de las funciones propuestas para la nueva Unidad ya están siendo realizadas por la DGTIC sólo que en caracter de asesoría y sin caracter vinculante."
9,10,Objetivo 1 (Infraestructura),Estrategia 1.3,"LAR 1.3.5: Valorar mecanismos de coexistencia, mercado secundario, compartición y acceso dinámico de espectro radioeléctrico entre diversos servicios de radiocomunicaciones, en concordancia con el desarrollo tecnológico, las mejores prácticas regulatorias y modelos innovadores de gestión del espectro radioeléctrico",LAR 1.3.5,"Estudiar y, de considerarse apropiado, fomentar la realización de estudios experimentales de técnicas de compartición y acceso dinámico al espectro, en colaboración con los concesionarios.",Estudios y análisis,Otros temas G5,Otros temas G5,Infraestructura Digital,,Otorgamiento de concesiones de uso experimental para probar la tecnología TVWS en México,Experimental,Proyecto,Proyecto,UER,2022,,,2022,Se han otorgado concesiones de uso experimental para probar la tecnología TVWS en México.,Sí,Individual,,,,"Cómo materializaríamos este proyecto? Dependemos de la demanda, es decir, de las solicitudes para ese tipo de concesiones experimentales. En su caso, creo que debería contemplarse la promoción de las concesiones de uso experimental. [JJ]",Ya se han otorgado concesiones con estos fines [SD],"Cómo materializaríamos este proyecto? Dependemos de la demanda, es decir, de las solicitudes para ese tipo de concesiones experimentales. En su caso, creo que debería contemplarse la promoción de las concesiones de uso experimental. [JJ] 

 Ya se han otorgado concesiones con estos fines [SD]",En análisis,"Dentro del PAT 2021 la UER tiene prevista la realización del estudio ""Análisis en materia de acceso dinámico y uso compartido del espectro radioeléctrico y las alternativas regulatorias para su habilitación"". En ese sentido, hay actividades de la UER encaminadas a la promoción de sistemas como TVWS. Los resultados que se obtengan del estudio podrán darnos elementos para una adecuada promoción de estos sistemas.
Adicionalmente, el Gobierno Fderal, a través de la oficina de Estrategia Digital Nacional, ha manifestado su interés en utilizar la tecnología de TVWS para llevar conectividad a poblaciones desatendidas a través de CFETeIpT. ",,,B,B,"Cómo materializaríamos este proyecto? Dependemos de la demanda, es decir, de las solicitudes para ese tipo de concesiones experimentales. En su caso, creo que debería contemplarse la promoción de las concesiones de uso experimental. [JJ]",0.0,B,B,,0.0,B,B,,0.0,0.0,B,B,,0.0,B,B,,0.0,A,A,,100.0,B,B,,0,,,0.0,25.0,,,,,,,,,
